GO_CC(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_CC,Protein_Domain
membrane coat,13,"['YBL037W', 'YDL145C', 'YDR238C', 'YGL137W', 'YGR261C', 'YJL024C', 'YJR005W', 'YJR058C', 'YKL135C', 'YLR170C', 'YNL287W', 'YPL195W', 'YPR029C']",,"['CHC1', 'BET1', 'NEO1', 'GEA1', 'COG8', 'COG6', 'COG5', 'TLG2', 'GYP1']","['clathrin adaptor activity', 'clathrin binding', 'structural molecule activity']","['Golgi to vacuole transport', 'intra-Golgi vesicle-mediated transport', 'intracellular mRNA localization', 'intracellular protein transport', 'protein transport', 'vesicle-mediated transport']",,"['protein/peptide distribution: decreased', 'respiratory growth: increased']","['DRS2', 'SLA1', 'APL3', 'VAM6', 'COP1', 'ARF1', 'VPS74', 'GLO3', 'IRC6', 'RET2', 'MST27', 'RRT6', 'CRM1', 'APL6', 'APM2', 'SEC28', 'ALY2', 'APL1', 'APL2', 'APS1', 'SEC22', 'ERV41', 'APM4', 'RET3', 'APM1', 'APL4']",,"['AP-1 adaptor complex', 'AP-2 adaptor complex', 'AP-3 adaptor complex', 'COPI vesicle coat', 'COPI-coated vesicle membrane', 'Golgi apparatus', 'Golgi membrane', 'clathrin-coated pit', 'clathrin-coated vesicle membrane', 'cytoplasmic vesicle', 'intracellular membrane-bounded organelle', 'membrane']","['Clathrin adaptor complex small chain', 'Adaptin N terminal region', 'Coatomer WD associated region']"
membrane raft,41,"['YBL069W', 'YBR021W', 'YBR052C', 'YBR108W', 'YBR127C', 'YBR207W', 'YCR004C', 'YCR009C', 'YDL222C', 'YDR032C', 'YDR105C', 'YDR135C', 'YDR229W', 'YDR284C', 'YEL013W', 'YEL051W', 'YEL063C', 'YFL041W', 'YGL008C', 'YGR130C', 'YGR131W', 'YGR163W', 'YIL105C', 'YJL129C', 'YKL187C', 'YKR007W', 'YLL048C', 'YLR138W', 'YLR413W', 'YLR414C', 'YLR443W', 'YML052W', 'YMR031C', 'YMR243C', 'YMR307W', 'YNL173C', 'YNL194C', 'YOR270C', 'YOR316C', 'YOR332W', 'YPR149W']",,,"['proton-transporting ATPase activity, rotational mechanism']","['cation transport', 'cortical actin cytoskeleton organization', 'eisosome assembly', 'fungal-type cell wall organization', 'hydrogen ion transmembrane transport', 'ion transport', 'septin cytoskeleton organization', 'transmembrane transport', 'vacuolar acidification']",,['metal resistance: decreased'],"['FUI1', 'FTH1', 'YCP4', 'TVS1', 'DUN1', 'SNA4', 'FMP45', 'PST2', 'RAV2', 'VAC8', 'VMA8', 'GPA2', 'FTR1', 'PMC1', 'HNM1', 'VMA7', 'MUP1', 'VHT1', 'TPO2', 'GTR2', 'VMA10', 'HXT1', 'RAV1', 'SFK1', 'TOR2', 'MEH1', 'MID2', 'GTR1', 'STV1', 'SEG1', 'LAS17', 'VPH1', 'COT1', 'VMA13']",['AFT2'],"['cell cortex of cell tip', 'cell periphery', 'eisosome', 'fungal-type vacuole membrane', 'integral component of membrane', 'membrane', 'plasma membrane', 'vacuolar membrane', 'vacuole']",['SUR7/PalI family']
membrane-bounded organelle,1,['YPL103C'],,,,,,,,,,
messenger ribonucleoprotein complex,1,['YPR129W'],,,,,,,,,,
methionyl glutamyl tRNA synthetase complex,3,"['YGL105W', 'YGL245W', 'YGR264C']",,,,['tRNA aminoacylation for protein translation'],,,['MES1'],,['cytoplasmic stress granule'],
microtubule,57,"['YBL034C', 'YBL063W', 'YBR233W-A', 'YCL029C', 'YDR016C', 'YDR022C', 'YDR106W', 'YDR201W', 'YDR320C-A', 'YDR424C', 'YDR488C', 'YEL061C', 'YER007W', 'YER016W', 'YFL037W', 'YGL061C', 'YGL173C', 'YGL216W', 'YGR113W', 'YHR129C', 'YHR172W', 'YJL042W', 'YJR089W', 'YKL052C', 'YKL056C', 'YKL079W', 'YKL138C-A', 'YKR001C', 'YKR037C', 'YKR054C', 'YKR083C', 'YLL001W', 'YLR045C', 'YLR175W', 'YLR212C', 'YLR254C', 'YLR412W', 'YML085C', 'YML124C', 'YMR198W', 'YMR294W', 'YMR299C', 'YNL126W', 'YNL148C', 'YNL188W', 'YOR058C', 'YOR195W', 'YOR211C', 'YOR265W', 'YOR269W', 'YPL017C', 'YPL155C', 'YPL174C', 'YPL209C', 'YPL241C', 'YPL269W', 'YPR141C']",,"['SWC3', 'LTE1', 'SPC72', 'BUD14', 'NCL1', 'SHE1', 'STU1', 'SHP1', 'KIP1', 'BRN1', 'SIF2', 'IML3', 'CMD1', 'CCZ1', 'SLI15', 'ABD1', 'DCC1', 'BIK1', 'HCM1', 'PAT1', 'CSM1', 'MCD1', 'MPS1', 'CYK3', 'RAD61', 'DAD1', 'PDS1', 'INO2', 'NUM1', 'SAC3', 'SCC2', 'PRP28', 'CHL4', 'SSD1', 'IPK1', 'MCM21', 'SPC110', 'XRS2', 'RPP2B', 'DYN2', 'LRS4', 'PAC11', 'GIM4', 'CIN8', 'PAC2', 'PRP22', 'BIM1', 'RPS24A', 'UBP9', 'BOI2', 'SCS2', 'BEM2', 'SMC1', 'TUB2', 'ACT1', 'FAB1', 'SMC2', 'DUO1', 'MAD1', 'SPC105', 'CDC20', 'MON1', 'XRN1', 'KIP3', 'DOC1', 'PAC10', 'DBF2', 'PCP1', 'DAM1', 'NUP57', 'CBF2', 'BUB1', 'SMI1', 'VPS29', 'ARP1', 'CTF8', 'BCY1', 'CAP2', 'FIS1', 'ICE2', 'MAD3', 'MAD2', 'MDV1', 'LSM1', 'PFD1', 'BFA1', 'ILM1', 'MCM22', 'CAP1', 'ELM1', 'ASK1', 'SPC34', 'DYN1', 'RPL40B', 'DNM1', 'SFI1', 'LDB18', 'STU2', 'ARP6', 'YKE2', 'CLB4', 'TUB4', 'CPR6', 'NDL1', 'YCS4', 'BUD6', 'CTF3', 'YPT7', 'TEM1', 'TUB1', 'GIM5', 'NUP188', 'TUB3', 'BUB2', 'CTF18', 'SPC24', 'CIN4', 'CIK1', 'JNM1', 'DYN3', 'TPM1', 'YAF9', 'LSM7', 'ALF1', 'GIM3', 'CNM67', 'BNI1', 'MCK1', 'HTZ1', 'MDM20', 'RTS1', 'BUB3', 'ASE1', 'SGO1', 'VAM3', 'PFY1', 'SLK19', 'MGM1', 'RBL2', 'PAC1', 'MYO2', 'CIN1', 'IRC15', 'CTF19', 'RRD2', 'KIP2', 'NIP100', 'HRR25', 'IPL1', 'CIN2', 'VIK1', 'KAR9', 'MCM16', 'BRR1', 'CLB2', 'CLB5', 'CTF4', 'KAR3', 'FEN2']","['ATP-dependent microtubule motor activity, minus-end-directed', 'ATP-dependent microtubule motor activity, plus-end-directed', 'GTP binding', 'GTPase activity', 'microtubule binding', 'microtubule motor activity', 'microtubule plus-end binding', 'structural constituent of cytoskeleton']","['2-micrometer plasmid partitioning', 'attachment of spindle microtubules to kinetochore', 'cell cycle', 'cell division', 'chromosome segregation', 'cytoplasmic microtubule organization', 'establishment of mitotic spindle localization', 'establishment of mitotic spindle orientation', 'homologous chromosome segregation', 'karyogamy', 'karyogamy involved in conjugation with cellular fusion', 'meiotic sister chromatid segregation', 'microtubule cytoskeleton organization', 'microtubule depolymerization', 'microtubule nucleation', 'microtubule polymerization', 'microtubule-based movement', 'microtubule-based process', 'mitotic cell cycle', 'mitotic sister chromatid segregation', 'mitotic spindle assembly', 'mitotic spindle elongation', 'mitotic spindle organization', 'negative regulation of microtubule depolymerization', 'negative regulation of microtubule polymerization', 'nuclear migration', 'nuclear migration along microtubule', 'nuclear migration by microtubule mediated pushing forces', 'nuclear migration involved in conjugation with cellular fusion', 'positive regulation of attachment of spindle microtubules to kinetochore', 'positive regulation of microtubule polymerization', 'post-chaperonin tubulin folding pathway', 'regulation of mitotic spindle organization', 'spindle assembly', 'spindle pole body separation', 'tubulin complex assembly']",,"['cell cycle passage through the metaphase-anaphase transition: delayed', 'cell cycle progression in G2 phase: abnormal', 'cell cycle progression in anaphase: increased duration', 'cell cycle progression: abnormal', 'chromosome segregation: abnormal', 'chromosome/plasmid maintenance: abnormal', 'chromosome/plasmid maintenance: decreased', 'colony sectoring: increased', 'cytoskeleton morphology: abnormal', 'inviable', 'nuclear fusion during mating: abnormal', 'nuclear morphology: abnormal', 'nuclear position: abnormal', 'polyploidy: increased', 'spindle morphology: abnormal']","['SPC72', 'SHE1', 'BRN1', 'SLI15', 'DAD3', 'BIK1', 'UBC9', 'DAD1', 'ARP10', 'NUM1', 'SPC19', 'HDA2', 'DAD4', 'SPC110', 'SHE9', 'DYN2', 'PAC11', 'GIM4', 'BIM1', 'SPC25', 'TSC11', 'TUB2', 'CNN1', 'DUO1', 'SPC105', 'SPR3', 'NNF2', 'DAM1', 'LAM4', 'ARP1', 'SPC97', 'NDC80', 'DSN1', 'CHM7', 'REC107', 'NNF1', 'HMS2', 'ASK1', 'SMY1', 'HSK3', 'DID2', 'SPC34', 'DYN1', 'DAD2', 'LDB18', 'YLR031W', 'STU2', 'TUB4', 'YCS4', 'ATG17', 'TUB1', 'TUB3', 'VPS20', 'CIK1', 'RNA1', 'END3', 'SPC98', 'NUF2', 'ULS1', 'PAC1', 'BIL1', 'TYE7', 'CTF19', 'KIP2', 'NIP100', 'IPL1', 'VIK1', 'KAR9', 'RLF2', 'KAR3']",,"['DASH complex', 'astral microtubule', 'centrosome', 'chromosome', 'chromosome, centromeric region', 'cytoplasm', 'cytoplasmic dynein complex', 'cytoplasmic microtubule', 'cytoskeleton', 'dynactin complex', 'dynein complex', 'equatorial microtubule organizing center', 'gamma-tubulin complex', 'gamma-tubulin small complex', 'inner plaque of spindle pole body', 'kinesin complex', 'kinetochore', 'kinetochore microtubule', 'microtubule associated complex', 'microtubule organizing center', 'microtubule plus-end', 'mitotic spindle', 'mitotic spindle midzone', 'mitotic spindle pole body', 'nuclear microtubule', 'nucleus', 'outer plaque of spindle pole body', 'polar microtubule', 'spindle', 'spindle microtubule', 'spindle midzone', 'spindle pole', 'spindle pole body', 'tubulin complex']","['Tubulin/FtsZ family, GTPase domain', 'Kinesin motor domain', 'Dynamin family', 'CAP-Gly domain', 'Tubulin C-terminal domain']"
microtubule associated complex,4,"['YCL029C', 'YDR424C', 'YOR269W', 'YPL174C']",,"['STU1', 'CMD1', 'ABD1', 'HCM1', 'GIM4', 'CIN8', 'PRP22', 'BIM1', 'SCS2', 'KIP3', 'PAC10', 'BFA1', 'STU2', 'YKE2', 'CLB4', 'TEM1', 'GIM5', 'BUB2', 'CIK1', 'GIM3', 'BNI1', 'ASE1', 'MYO2', 'CIN1', 'CIN2', 'KAR9']",['microtubule plus-end binding'],"['cytoplasmic microtubule organization', 'establishment of mitotic spindle orientation', 'nuclear migration involved in conjugation with cellular fusion']",,,,,"['cell tip', 'cytoplasmic microtubule', 'cytoskeleton', 'dynein complex', 'microtubule', 'microtubule plus-end', 'spindle pole']",['CAP-Gly domain']
microtubule cytoskeleton,11,"['YAR014C', 'YBL031W', 'YCR002C', 'YDL225W', 'YDR218C', 'YGR059W', 'YHR107C', 'YJR076C', 'YLR314C', 'YMR138W', 'YOR265W']",,"['FUS3', 'SKT5', 'CHS3', 'BEM1', 'BUD3', 'CYK3', 'SHS1', 'SWI4', 'SGF73', 'DBF2', 'CDC12', 'DMA1', 'CHS7', 'VHS2', 'AXL2', 'CHS6', 'CDC11', 'BUD4', 'SMY1', 'UBI4', 'CDC3', 'BUD6', 'CHS5', 'MIH1', 'MUB1', 'ZDS1', 'TPM1', 'BNI5', 'BEM3', 'SSO1', 'CSI2']","['GTP binding', 'GTPase activity', 'binding, bridging', 'nucleotide binding', 'phosphatidylinositol-4-phosphate binding', 'phosphatidylinositol-5-phosphate binding', 'structural constituent of cytoskeleton']","['actomyosin contractile ring assembly', 'barrier septum assembly', 'cell cycle', 'cell division', 'cellular bud neck septin ring organization', 'cellular protein localization', 'cytoskeleton-dependent cytokinesis', 'maintenance of cell polarity', 'mitotic cytokinesis', 'positive regulation of protein kinase activity', 'protein localization to bud neck', 'septin ring assembly']",,"['axial budding pattern: decreased', 'bipolar budding pattern: increased', 'budding: abnormal', 'cell cycle progression: arrested', 'cellular morphology: abnormal', 'cytokinesis: absent']","['KCC4', 'CDC10', 'SYP1', 'SHS1', 'AFR1', 'CCT6', 'SPR28', 'SIZ1', 'GIN4', 'CDC12', 'CCT3', 'CDC11', 'BUD4', 'CDC3', 'FMP27', 'HOF1', 'NIS1', 'BNI5', 'CLA4', 'RAD53', 'BEM4']",,"['ascospore wall', 'cell division site', 'cellular bud neck', 'cellular bud neck septin ring', 'mating projection base', 'meiotic spindle', 'prospore membrane', 'septin complex', 'septin filament array', 'septin ring', 'spindle microtubule']",['Septin']
microtubule organizing center,5,"['YBL034C', 'YER016W', 'YHR172W', 'YNL126W', 'YOR257W']",,['TUB4'],"['gamma-tubulin binding', 'microtubule binding', 'microtubule minus-end binding']","['microtubule cytoskeleton organization', 'microtubule nucleation', 'spindle assembly']",,"['cell cycle progression in G2 phase: abnormal', 'cell cycle progression: abnormal']","['SPC110', 'TUB1', 'KAR1']",,"['centrosome', 'cytoplasmic microtubule', 'cytoskeleton', 'equatorial microtubule organizing center', 'gamma-tubulin complex', 'gamma-tubulin small complex', 'inner plaque of spindle pole body', 'microtubule', 'mitotic spindle pole body', 'outer plaque of spindle pole body', 'spindle pole', 'spindle pole body']","['Gamma tubulin complex component C-terminal', 'Gamma tubulin complex component N-terminal']"
microtubule plus-end,4,"['YCL029C', 'YER016W', 'YLR045C', 'YPL174C']",,"['HCM1', 'TUB2', 'KIP3', 'DAM1', 'BFA1', 'YKE2', 'CLB4', 'NDL1', 'TEM1', 'TUB3', 'SPC24', 'CIN4', 'CIK1', 'GIM3', 'ASE1', 'CIN1', 'CIN2', 'KAR9']","['microtubule binding', 'microtubule plus-end binding']","['2-micrometer plasmid partitioning', 'cytoplasmic microtubule organization', 'nuclear migration involved in conjugation with cellular fusion']",,,"['BIK1', 'BIM1', 'STU2', 'KAR9']",,"['cell tip', 'cytoskeleton', 'microtubule', 'microtubule associated complex', 'spindle', 'spindle microtubule', 'spindle pole', 'spindle pole body']",['CAP-Gly domain']
microvillus,2,"['YKL129C', 'YMR109W']",,,"['microfilament motor activity', 'motor activity']","['actin cortical patch localization', 'bipolar cellular bud site selection', 'positive regulation of Arp2/3 complex-mediated actin nucleation', 'response to osmotic stress', 'vesicle transport along actin filament']",,,"['OSH2', 'MTH1', 'SAP1', 'YGL242C', 'ARC19', 'VRP1', 'SHE4', 'STD1', 'MET31', 'MET1', 'SRL1']",,"['actin cytoskeleton', 'cell tip', 'myosin complex', 'vesicle']","['SH3 domain', 'Myosin head (motor domain)', 'Unconventional myosin tail, actin- and lipid-binding']"
mismatch repair complex,8,"['YCR092C', 'YDR097C', 'YHR120W', 'YLR035C', 'YMR167W', 'YNL082W', 'YOL090W', 'YPL164C']",,"['POL30', 'MSH3', 'RAD59', 'POL3', 'MSH6', 'RAD27', 'OGG1', 'PSO2', 'MLH1', 'RNH201', 'PMS1', 'POL2', 'MSH2', 'EXO1', 'RAD1', 'MLH3']","['ATP binding', 'ATPase activity', 'DNA insertion or deletion binding', 'DNA-dependent ATPase activity', 'MutLalpha complex binding', 'Y-form DNA binding', 'bubble DNA binding', 'dinucleotide insertion or deletion binding', 'double-strand/single-strand DNA junction binding', 'four-way junction DNA binding', 'guanine/thymine mispair binding', 'heteroduplex DNA loop binding', 'mismatched DNA binding', 'oxidized purine DNA binding', 'single base insertion or deletion binding', 'single thymine insertion binding']","['DNA repair', 'cellular response to DNA damage stimulus', 'maintenance of DNA repeat elements', 'meiotic mismatch repair', 'mismatch repair', 'reciprocal meiotic recombination', 'removal of nonhomologous ends', 'replication fork arrest']",,"['chromosome/plasmid maintenance: increased', 'mutation frequency: increased', 'mutation frequency: normal']","['POL30', 'MSH3', 'MSH6', 'MLH2', 'MLH1', 'SGS1', 'PMS1', 'MSH2']",,"['MutLalpha complex', 'MutLbeta complex', 'MutLgamma complex', 'MutSalpha complex', 'MutSbeta complex']","['MutS domain V', 'DNA mismatch repair protein, C-terminal domain', 'MutS domain I', 'MutS domain II', 'MutS family domain IV', 'MutS domain III', 'Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase']"
mitochondrial DNA-directed RNA polymerase complex,2,"['YFL036W', 'YMR228W']",,,,,,,,,,
mitochondrial chromosome,6,"['YBL022C', 'YJR144W', 'YMR072W', 'YNL295W', 'YPL029W', 'YPL159C']",,,,['regulation of mitochondrial DNA metabolic process'],,,,,,['Mitochondrial protein Pet20']
mitochondrial crista,4,"['YER154W', 'YKR016W', 'YOR211C', 'YPR191W']",,,,,,,"['COX1', 'COB', 'COX2', 'QCR10', 'TIM23']",,"['mitochondrial inner boundary membrane', 'mitochondrial inner membrane']",
mitochondrial crista junction,6,"['YBR262C', 'YCL057C-A', 'YFR011C', 'YGR235C', 'YKR016W', 'YNL100W']",,"['AFG3', 'YTA12']",,['cristae formation'],,"['mitochondrial genome maintenance: abnormal', 'mitochondrial morphology: abnormal', 'protein/peptide accumulation: absent', 'protein/peptide modification: abnormal', 'respiratory growth: decreased']","['ATP1', 'MIC12', 'MIC10', 'MIC19', 'PHB1', 'PHB2', 'MIC26', 'OM45', 'MIC60', 'PAM17', 'SAM50', 'MIC27', 'CIR2', 'MRX3', 'PET100', 'MPM1', 'FMP33', 'AIM24', 'NDE1', 'ODC1']",,"['MICOS complex', 'mitochondrial inner membrane', 'mitochondrion']",
mitochondrial degradosome,2,"['YMR287C', 'YPL029W']",,,['exoribonuclease II activity'],"['RNA phosphodiester bond hydrolysis, exonucleolytic', 'mitochondrial RNA catabolic process']",,,,,,
mitochondrial envelope,12,"['YDR178W', 'YDR316W', 'YGL187C', 'YLR164W', 'YLR348C', 'YML129C', 'YNL256W', 'YOR017W', 'YOR130C', 'YOR297C', 'YPL132W', 'YPR151C']",,,,,,,['SDH3'],,"['mitochondrial inner membrane', 'mitochondrion']","['CybS, succinate dehydrogenase cytochrome B small subunit']"
mitochondrial inner boundary membrane,4,"['YER017C', 'YER154W', 'YMR089C', 'YOR211C']","['hereditary spastic paraplegia', 'spinocerebellar ataxia type 28']","['MBA1', 'PHB1', 'FIS1', 'DNM1', 'PSD1', 'MDM38', 'TOM6']",['ATP-dependent peptidase activity'],,,"['mitochondrial genome maintenance: absent', 'respiratory growth: absent', 'stress resistance: increased', 'utilization of carbon source: decreased rate']",,,"['m-AAA complex', 'mitochondrial crista', 'mitochondrial inner membrane']","['Peptidase family M41', 'FtsH Extracellular']"
