GO_MF(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_MF,Protein_Domain
betaine-homocysteine S-methyltransferase activity,1,['YLL062C'],,,,,,,,,,
bilirubin transmembrane transporter activity,2,"['YDR135C', 'YLL015W']",,,,"['bilirubin transport', 'cadmium ion transmembrane transport', 'peptide transport']",,,,,"['ABC-type transporter activity', 'ATPase activity, coupled to transmembrane movement of substances', 'peptide-transporting ATPase activity']",['ABC transporter transmembrane region']
"binding, bridging",29,"['YBR198C', 'YBR200W', 'YCR002C', 'YCR093W', 'YDL225W', 'YDR138W', 'YDR145W', 'YDR167W', 'YDR218C', 'YDR227W', 'YGL112C', 'YGR059W', 'YGR274C', 'YHL030W', 'YHR107C', 'YJR076C', 'YKL013C', 'YLR314C', 'YLR386W', 'YLR423C', 'YML029W', 'YML062C', 'YMR223W', 'YMR224C', 'YMR236W', 'YNL172W', 'YNR035C', 'YOR007C', 'YPR049C']",,"['CCR4', 'SKT5', 'CHS3', 'BUD31', 'PAT1', 'NHP10', 'CYK3', 'EAF1', 'RGA2', 'DIT2', 'ARO80', 'VPS72', 'MOT2', 'SPT2', 'DST1', 'RPB9', 'ITC1', 'SLT2', 'CDC12', 'CHS7', 'VHS2', 'AXL2', 'MET28', 'LSM1', 'SET2', 'MOG1', 'CDC11', 'BUD4', 'SMY1', 'DOA1', 'NAP1', 'THI73', 'BUD6', 'CHS5', 'RSC2', 'ROM2', 'MIH1', 'SPT21', 'ZDS1', 'ELP6', 'RNH201', 'TPM1', 'BNI5', 'CLA4', 'BRE5', 'HST3', 'CKB2', 'SGF11', 'BEM3', 'CLN2', 'EAF3', 'THP3', 'AIM29']","['SAGA complex', 'SLIK (SAGA-like) complex', 'THO complex part of transcription export complex', 'ascospore wall', 'cell division site', 'cellular bud neck', 'cellular bud neck septin ring', 'mating projection base', 'meiotic spindle', 'microtubule cytoskeleton', 'nucleoplasmic THO complex', 'prospore membrane', 'septin complex', 'septin filament array', 'septin ring', 'spindle microtubule', 'transcription factor TFIID complex']","['DNA-templated transcription, initiation', 'RNA polymerase II transcriptional preinitiation complex assembly', 'actomyosin contractile ring assembly', 'barrier septum assembly', 'cell division', 'cellular bud neck septin ring organization', 'cellular protein localization', 'chromatin organization', 'cytoskeleton-dependent cytokinesis', 'exit from mitosis', 'histone acetylation', 'maintenance of cell polarity', 'mitotic cytokinesis', 'protein localization to bud neck', 'septin ring assembly', 'transcription from RNA polymerase II promoter']",,"['axial budding pattern: decreased', 'bipolar budding pattern: increased', 'cell cycle progression: arrested', 'cytokinesis: absent', 'heat sensitivity: increased']","['HSP26', 'SPT7', 'SUS1', 'SUP45', 'TAF5', 'SGF29', 'KCC4', 'CDC10', 'SYP1', 'TAF2', 'UBC9', 'SUB2', 'RPO21', 'SHS1', 'AFR1', 'TAF12', 'SAC3', 'TAF10', 'CDC37', 'NGG1', 'CCT6', 'ADR1', 'RPP2B', 'SPT3', 'SIZ1', 'ADA2', 'GIN4', 'GCN4', 'RPL12A', 'SPT15', 'CHD1', 'LPD1', 'TUB2', 'RPL2A', 'RPT6', 'SGF73', 'TAF6', 'PIL1', 'GCN5', 'TAF1', 'TRA1', 'CDC12', 'RPN2', 'DSN1', 'CCT3', 'KAR2', 'SPT10', 'CDC11', 'ATP7', 'FBA1', 'COY1', 'TIF1', 'SPT8', 'CDC3', 'RPP0', 'BDF1', 'CNA1', 'TAF11', 'TAF13', 'TAF8', 'TAF4', 'HOF1', 'HSC82', 'UBP8', 'TAF7', 'TAF9', 'RPL20A', 'NIS1', 'BNI5', 'RAP1', 'CAF40', 'CLA4', 'ACC1', 'RPP2A', 'ADH1', 'HAL9', 'SPT20', 'RPB2', 'ULS1', 'TAF3', 'SGF11', 'MOT1', 'TAF14', 'BEM4', 'GAL4', 'HFI1', 'NOT5', 'MRL1', 'DIT1', 'RPL14A', 'RPS30B']",,"['GTP binding', 'GTPase activity', 'RNA polymerase II general transcription initiation factor activity', 'chromatin binding', 'phosphatidylinositol-4-phosphate binding', 'phosphatidylinositol-5-phosphate binding', 'structural constituent of cytoskeleton']",['Septin']
biotin binding,2,"['YBR218C', 'YGL062W']",,,,"['gluconeogenesis', 'pyruvate metabolic process']","['TCA cycle, aerobic respiration', 'aspartate biosynthesis', 'gluconeogenesis']",,,,['pyruvate carboxylase activity'],"['Biotin carboxylase, N-terminal domain', 'Biotin-requiring enzyme', 'HMGL-like', 'Conserved carboxylase domain', 'Biotin carboxylase C-terminal domain', 'Carbamoyl-phosphate synthase L chain, ATP binding domain']"
biotin carboxylase activity,2,"['YMR207C', 'YNR016C']",,,,"['long-chain fatty acid biosynthetic process', 'malonyl-CoA biosynthetic process']","['fatty acid biosynthesis, initial steps']",,,,['acetyl-CoA carboxylase activity'],"['Biotin carboxylase, N-terminal domain', 'Biotin-requiring enzyme', 'Carboxyl transferase domain', 'Biotin carboxylase C-terminal domain', 'Carbamoyl-phosphate synthase L chain, ATP binding domain', 'Acetyl-CoA carboxylase, central region']"
biotin synthase activity,1,['YGR286C'],,,,,,,,,,
biotin transporter activity,1,['YGR065C'],,,,,,,,,,
biotin-[acetyl-CoA-carboxylase] ligase activity,1,['YDL141W'],,,,,,,,,,
biotin-[methylcrotonoyl-CoA-carboxylase] ligase activity,1,['YDL141W'],,,,,,,,,,
biotin-[methylmalonyl-CoA-carboxytransferase] ligase activity,1,['YDL141W'],,,,,,,,,,
biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity,1,['YDL141W'],,,,,,,,,,
biotin-[pyruvate-carboxylase] ligase activity,1,['YDL141W'],,,,,,,,,,
bis(5'-adenosyl)-hexaphosphatase activity,1,['YOR163W'],,,,,,,,,,
bis(5'-adenosyl)-pentaphosphatase activity,1,['YOR163W'],,,,,,,,,,
bis(5'-adenosyl)-triphosphatase activity,1,['YDR305C'],,,,,,,,,,
bis(5'-nucleosyl)-tetraphosphatase activity,2,"['YCL050C', 'YDR530C']",,,,"['nucleoside catabolic process', 'nucleotide biosynthetic process', 'nucleotide metabolic process']",,,,,"['ATP adenylyltransferase activity', 'sulfate adenylyltransferase (ADP) activity']",['ATP adenylyltransferase C-terminal domain']
borate efflux transmembrane transporter activity,3,"['YML116W', 'YMR279C', 'YNL275W']",,,,"['borate transmembrane transport', 'borate transport']",,,,,['transmembrane transporter activity'],
box C/D snoRNA binding,2,"['YJL033W', 'YMR229C']",,,,,,,,,['U3 snoRNA binding'],
box H/ACA snoRNA binding,5,"['YDL208W', 'YHR052W', 'YHR072W-A', 'YHR089C', 'YMR229C']",,,"['box H/ACA snoRNP complex', 'nucleolus']","['cleavage involved in rRNA processing', 'rRNA processing', 'rRNA pseudouridine synthesis', 'ribosome biogenesis', 'snRNA pseudouridine synthesis']",,,"['NOP1', 'NHP2', 'NOP6', 'MAK21', 'PUF6', 'SPB4', 'LOC1', 'DBP3', 'PRP43', 'PXR1', 'YGR283C', 'NOP10', 'GAR1', 'SHQ1', 'NOP9', 'UTP10', 'URB1', 'EBP2', 'RPF2', 'CBF5', 'PWP1', 'ERB1', 'RRP5', 'HAS1', 'YMR310C', 'RLP7', 'NOP2', 'NOP15', 'DBP2', 'NAF1', 'KRI1', 'BRX1', 'NOC2', 'RPA43', 'RRP12', 'NOP4', 'CBC2']",,['RNA binding'],
branched-chain-2-oxoacid decarboxylase activity,4,"['YDR380W', 'YGR087C', 'YLR044C', 'YLR134W']",,['MTH1'],,"['L-phenylalanine catabolic process', 'amino acid catabolic process via Ehrlich pathway', 'aromatic amino acid family catabolic process to alcohol via Ehrlich pathway', 'branched-chain amino acid catabolic process', 'glycolytic fermentation to ethanol', 'pyruvate metabolic process', 'tryptophan catabolic process']","['acetoin biosynthesis II', 'isoleucine degradation', 'phenylalanine degradation', 'superpathway of glucose fermentation', 'tryptophan degradation', 'valine degradation']",,,"['TUP1', 'PDC2', 'MSN4', 'SIN4', 'SPT20', 'GCR1']","['carboxy-lyase activity', 'catalytic activity', 'indolepyruvate decarboxylase activity', 'lyase activity', 'magnesium ion binding', 'phenylpyruvate decarboxylase activity', 'pyruvate decarboxylase activity', 'thiamine pyrophosphate binding']","['Thiamine pyrophosphate enzyme, central domain', 'Thiamine pyrophosphate enzyme, C-terminal TPP binding domain', 'Thiamine pyrophosphate enzyme, N-terminal TPP binding domain']"
branched-chain-amino-acid transaminase activity,2,"['YHR208W', 'YJR148W']",,['ILV2'],,"['L-methionine salvage from methylthioadenosine', 'branched-chain amino acid biosynthetic process', 'branched-chain amino acid catabolic process', 'branched-chain amino acid metabolic process', 'isoleucine biosynthetic process', 'leucine biosynthetic process', 'valine biosynthetic process']","['isoleucine biosynthesis', 'isoleucine degradation', 'leucine biosynthesis', 'leucine degradation', 'methionine salvage pathway', 'valine biosynthesis', 'valine degradation']",,,,"['L-isoleucine transaminase activity', 'L-leucine transaminase activity', 'L-valine transaminase activity', 'transaminase activity']",['Amino-transferase class IV']
brassicasterol glucosyltransferase activity,1,['YLR189C'],,,,,,,,,,
bubble DNA binding,2,"['YLR035C', 'YMR167W']",,,"['MutLbeta complex', 'mismatch repair complex']",,,,,,"['heteroduplex DNA loop binding', 'mismatched DNA binding']","['DNA mismatch repair protein, C-terminal domain', 'Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase']"
cAMP binding,1,['YIL033C'],,,,,,,,,,
cAMP-dependent protein kinase activity,3,"['YJL164C', 'YKL166C', 'YPL203W']",,"['RIM15', 'DOC1', 'BCY1', 'CYR1', 'YAK1', 'MSN4', 'CHA4', 'CDC25', 'SOK2', 'MSN2', 'RAS1', 'MYO2', 'TPK2', 'SOK1']",['cAMP-dependent protein kinase complex'],"['Ras protein signal transduction', 'negative regulation of cytoplasmic mRNA processing body assembly', 'negative regulation of cytoplasmic translation', 'protein kinase A signaling', 'protein phosphorylation']",,['cell death: absent'],"['GPB2', 'NTH1', 'STB3', 'RGA2', 'PKH1', 'GIP2', 'IGD1', 'PKP2', 'RIM4', 'BCY1', 'PFK26', 'YJL070C', 'IDS2', 'TMA22', 'RGT1', 'MSN4', 'MNR2', 'MBR1', 'TPK3', 'YPT53', 'CWC25', 'IRA2', 'PYK2', 'YPL077C', 'TPK2', 'HOM2', 'STR3', 'MGA1', 'RGD3', 'AVT1', 'DGR2', 'CMS1', 'NGL3', 'ISF1', 'ADD37', 'AZF1', 'BAG7', 'LCL1']",,"['AMP-activated protein kinase activity', 'protein kinase activity', 'protein serine/threonine kinase activity']",
cAMP-dependent protein kinase inhibitor activity,3,"['YAL056W', 'YIL033C', 'YOR371C']",,['CYR1'],['cell cortex of cell tip'],"['glucose mediated signaling pathway', 'negative regulation of Ras protein signal transduction', 'negative regulation of cAMP-dependent protein kinase activity']",,,['IRA2'],,['GTPase activating protein binding'],
cAMP-dependent protein kinase regulator activity,1,['YIL033C'],,,,,,,,,,
cadmium ion binding,2,"['YHR053C', 'YHR055C']",,,,"['detoxification of cadmium ion', 'detoxification of copper ion', 'removal of superoxide radicals', 'response to copper ion']",,,,"['RTG3', 'CUP2', 'OPI1', 'DAL81', 'MSS11', 'UME1']","['antioxidant activity', 'copper ion binding', 'superoxide dismutase activity']",['Yeast metallothionein']
cadmium ion transmembrane transporter activity,4,"['YHR050W', 'YLL015W', 'YLR034C', 'YOL122C']",,,,"['cadmium ion transmembrane transport', 'cadmium ion transport', 'cellular manganese ion homeostasis', 'iron ion transport', 'manganese ion transmembrane transport', 'manganese ion transport', 'metal ion transport']",,,,,"['inorganic cation transmembrane transporter activity', 'manganese ion transmembrane transporter activity', 'metal ion transmembrane transporter activity']",['Natural resistance-associated macrophage protein']
cadmium-exporting ATPase activity,1,['YBR295W'],,,,,,,,,,
cadmium-transporting ATPase activity,2,"['YDR135C', 'YGR281W']",,,,['cadmium ion transmembrane transport'],,,,,"['ABC-type transporter activity', 'ATPase activity, coupled to transmembrane movement of substances', 'glutathione S-conjugate-exporting ATPase activity']",['ABC transporter transmembrane region']
calcium activated cation channel activity,5,"['YLL005C', 'YLR241W', 'YMR266W', 'YOL084W', 'YOR087W']",,,,"['cation transmembrane transport', 'ion transmembrane transport', 'ion transport']",,,,,,"['Calcium-dependent channel, 7TM region, putative phosphate', 'Extracellular tail, of 10TM putative phosphate transporter', 'Late exocytosis, associated with Golgi transport', 'Cytosolic domain of 10TM putative phosphate transporter']"
calcium channel activity,3,"['YGR217W', 'YNL291C', 'YOR087W']",,,,"['calcium ion import across plasma membrane', 'calcium ion transmembrane transport', 'calcium ion transport', 'ion transport']",,"['recovery from pheromone-induced cell cycle arrest: absent', 'recovery from pheromone-induced cell cycle arrest: decreased']",,,"['ion channel activity', 'voltage-gated ion channel activity']",
calcium ion binding,28,"['YAL048C', 'YAL058W', 'YBL047C', 'YBR001C', 'YBR053C', 'YBR109C', 'YDR001C', 'YDR373W', 'YGL106W', 'YGL167C', 'YGR058W', 'YGR100W', 'YGR217W', 'YHR204W', 'YIL140W', 'YIR006C', 'YJR131W', 'YKL056C', 'YKL190W', 'YLR057W', 'YLR250W', 'YNL083W', 'YNL084C', 'YNR021W', 'YOR257W', 'YPL048W', 'YPL268W', 'YPR188C']",,,['cellular bud neck'],,,,,,"['hydrolase activity, acting on glycosyl bonds', 'mannosyl-oligosaccharide 1,2-alpha-mannosidase activity', 'metal ion binding']","['Glycosyl hydrolase family 47', 'Cytoskeletal-regulatory complex EF hand', 'EF-hand domain pair']"
calcium ion transmembrane transporter activity,1,['YBR187W'],,,,,,,,,,
calcium-dependent cysteine-type endopeptidase activity,2,"['YMR154C', 'YOR197W']",,,,,,,,,,
calcium-dependent phospholipid binding,2,"['YML072C', 'YOR086C']",,,,"['ER to Golgi ceramide transport', 'endoplasmic reticulum membrane organization', 'endoplasmic reticulum-plasma membrane tethering', 'regulation of phosphatidylinositol dephosphorylation']",,,,,,['C2 domain']
calcium-dependent protein binding,1,['YBR109C'],,,,,,,,,,
calcium-dependent protein kinase C activity,1,['YBL105C'],,,,,,,,,,
calcium-dependent protein serine/threonine phosphatase activity,3,"['YKL190W', 'YLR433C', 'YML057W']",,"['ATC1', 'STD1']",['calcineurin complex'],"['adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion', 'calcineurin-mediated signaling', 'cellular ion homeostasis', 'fungal-type cell wall organization', 'protein dephosphorylation']",,,['CNA1'],,['calmodulin-dependent protein phosphatase activity'],
calcium-dependent protein serine/threonine phosphatase regulator activity,2,"['YKL159C', 'YKL190W']",,,,,,,,,,
calcium-independent phospholipase A2 activity,1,['YKR089C'],,,,,,,,,,
calcium-transporting ATPase activity,5,"['YDR038C', 'YDR039C', 'YDR040C', 'YGL006W', 'YGL167C']",['Hailey-Hailey disease'],"['VCX1', 'YPI1', 'SNF7', 'SNF8']",,"['calcium ion transmembrane transport', 'calcium ion transport', 'cation transport', 'cellular calcium ion homeostasis', 'ion transmembrane transport', 'ion transport', 'potassium ion transmembrane transport', 'potassium ion transport', 'sodium ion transmembrane transport', 'sodium ion transport', 'transmembrane transport']",,,,,"['ATP binding', 'ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism', 'cation-transporting ATPase activity', 'nucleotide binding', 'potassium-transporting ATPase activity', 'sodium-exporting ATPase activity, phosphorylative mechanism']","['E1-E2 ATPase', 'Cation transporting ATPase, C-terminus', 'Cation transporter/ATPase, N-terminus', 'haloacid dehalogenase-like hydrolase', 'Cation transport ATPase (P-type)']"
calcium:proton antiporter activity,2,"['YDL128W', 'YNL321W']",,,,"['anion transmembrane transport', 'calcium ion transmembrane transport', 'cation transport', 'cellular calcium ion homeostasis', 'potassium ion transmembrane transport']",,,,,"['cation transmembrane transporter activity', 'potassium:proton antiporter activity']",['Sodium/calcium exchanger protein']
calmodulin binding,22,"['YAL029C', 'YBR169C', 'YDL229W', 'YDR356W', 'YDR388W', 'YFL004W', 'YFR014C', 'YGL158W', 'YGR167W', 'YJL012C', 'YKL171W', 'YLR113W', 'YLR248W', 'YLR433C', 'YML057W', 'YMR291W', 'YNR035C', 'YOL016C', 'YOR326W', 'YPL019C', 'YPL106C', 'YPL242C']",,,"['actin cytoskeleton', 'calcineurin complex', 'cytoplasm', 'filamentous actin', 'vacuolar transporter chaperone complex']","['calcineurin-mediated signaling', 'cellular response to oxidative stress', 'lysosomal microautophagy', 'phosphorylation', 'polyphosphate metabolic process', 'protein phosphorylation']",,['meiotic recombination: normal'],"['CMD1', 'GPP1', 'SEC10', 'BSP1']",,"['ATP binding', 'actin binding', 'actin filament binding', 'calcium-dependent protein serine/threonine phosphatase activity', 'calmodulin-dependent protein kinase activity', 'calmodulin-dependent protein phosphatase activity', 'kinase activity', 'nucleotide binding', 'protein kinase activity', 'protein serine/threonine kinase activity']","['Hsp70 protein', 'Protein kinase domain', 'IQ calmodulin-binding motif', 'Domain of unknown function (DUF202)', 'VTC domain']"
calmodulin-dependent protein kinase activity,6,"['YFR014C', 'YKL171W', 'YLR248W', 'YMR291W', 'YOL016C', 'YOR351C']",,,,"['cellular response to oxidative stress', 'phosphorylation', 'protein phosphorylation']",,,,,"['ATP binding', 'calmodulin binding', 'kinase activity', 'nucleotide binding', 'protein kinase activity', 'protein serine kinase activity', 'protein serine/threonine kinase activity', 'protein threonine kinase activity', 'transferase activity']",['Protein kinase domain']
calmodulin-dependent protein phosphatase activity,2,"['YLR433C', 'YML057W']",,,['calcineurin complex'],"['adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion', 'calcineurin-mediated signaling', 'cellular ion homeostasis']",,,,,"['calcium-dependent protein serine/threonine phosphatase activity', 'calmodulin binding', 'protein serine phosphatase activity', 'protein serine/threonine phosphatase activity', 'protein threonine phosphatase activity']",
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,3,"['YJL130C', 'YJR109C', 'YOR303W']",,,['carbamoyl-phosphate synthase complex'],"[""'de novo' pyrimidine nucleobase biosynthetic process"", 'UTP biosynthetic process', 'arginine biosynthetic process', 'citrulline biosynthetic process', 'nitrogen compound metabolic process']","['arginine biosynthesis', 'citrulline biosynthesis', 'de novo biosynthesis of pyrimidine ribonucleotides']",,,,"['aspartate carbamoyltransferase activity', 'dihydroorotase activity', 'ligase activity']","['Glutamine amidotransferase class-I', 'Carbamoyl-phosphate synthase small chain, CPSase domain', 'MGS-like domain', 'Carbamoyl-phosphate synthase L chain, ATP binding domain', 'Carbamoyl-phosphate synthetase large chain, oligomerisation domain']"
carbohydrate binding,12,"['YAL058W', 'YBR019C', 'YBR229C', 'YDR057W', 'YFL048C', 'YGL156W', 'YHR204W', 'YHR210C', 'YLR080W', 'YMR099C', 'YNR071C', 'YPR026W']",,,['endoplasmic reticulum lumen'],"['carbohydrate metabolic process', 'galactose catabolic process via UDP-galactose', 'glycoprotein ERAD pathway', 'metabolic process']",,,,,"['aldose 1-epimerase activity', 'alpha-mannosidase activity', 'catalytic activity', 'hydrolase activity, acting on glycosyl bonds', 'isomerase activity']",['Aldose 1-epimerase']
carbohydrate derivative binding,3,"['YFL048C', 'YKL104C', 'YMR085W']",,,,"['UDP-N-acetylglucosamine metabolic process', 'carbohydrate derivative metabolic process', 'fructose 6-phosphate metabolic process', 'fungal-type cell wall chitin biosynthetic process']",,,,,['glutamine-fructose-6-phosphate transaminase (isomerizing) activity'],['SIS domain']
carbon-carbon lyase activity,3,"['YDR294C', 'YEL020C', 'YMR250W']",,,,,,,,,['lyase activity'],['Pyridoxal-dependent decarboxylase conserved domain']
"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",4,"['YBL080C', 'YGR102C', 'YMR293C', 'YOR215C']",,"['GTF1', 'PET112']",['glutamyl-tRNA(Gln) amidotransferase complex'],['glutaminyl-tRNAGln biosynthesis via transamidation'],,,['PET112'],,"['glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity', 'ligase activity']",
carbon-sulfur lyase activity,4,"['YAL012W', 'YGL184C', 'YHR112C', 'YML082W']",,,,"['cellular amino acid biosynthetic process', 'cysteine biosynthetic process via cystathionine', 'sulfur compound metabolic process', 'transsulfuration']",,,,,"['catalytic activity', 'cystathionine beta-lyase activity', 'cystathionine gamma-lyase activity', 'cysteine-S-conjugate beta-lyase activity', 'lyase activity', 'pyridoxal phosphate binding']",['Cys/Met metabolism PLP-dependent enzyme']
carbonate dehydratase activity,1,['YNL036W'],,,,,,,,,,
carbonyl reductase (NADPH) activity,4,"['YDR368W', 'YGL039W', 'YGL157W', 'YMR226C']",,,,,,,,,['oxidoreductase activity'],['NAD dependent epimerase/dehydratase family']
carboxy-lyase activity,18,"['YDL080C', 'YDR047W', 'YDR380W', 'YDR538W', 'YDR539W', 'YEL020C', 'YEL021W', 'YGR087C', 'YGR170W', 'YKL184W', 'YKR097W', 'YLR044C', 'YLR134W', 'YMR250W', 'YNL169C', 'YNR043W', 'YOL052C', 'YOR128C']",,,['cytosol'],"['L-phenylalanine catabolic process', 'amino acid catabolic process via Ehrlich pathway', 'aromatic amino acid family catabolic process to alcohol via Ehrlich pathway', 'branched-chain amino acid catabolic process', 'cinnamic acid catabolic process', 'protein autoprocessing', 'tryptophan catabolic process']","['acetoin biosynthesis II', 'isoleucine degradation', 'leucine degradation', 'phenylalanine degradation', 'phospholipid biosynthesis', 'superpathway of glucose fermentation', 'tryptophan degradation', 'valine degradation']",,,,"['branched-chain-2-oxoacid decarboxylase activity', 'carbon-carbon lyase activity', 'catalytic activity', 'indolepyruvate decarboxylase activity', 'lyase activity', 'magnesium ion binding', 'phenylpyruvate decarboxylase activity', 'phosphatidylserine decarboxylase activity', 'pyruvate decarboxylase activity', 'thiamine pyrophosphate binding']","['Thiamine pyrophosphate enzyme, central domain', 'Phosphatidylserine decarboxylase', 'Thiamine pyrophosphate enzyme, C-terminal TPP binding domain', 'Thiamine pyrophosphate enzyme, N-terminal TPP binding domain']"
carboxyl- or carbamoyltransferase activity,2,"['YJL088W', 'YJL130C']",,,,['citrulline biosynthetic process'],"['arginine biosynthesis', 'citrulline biosynthesis']",,,,['amino acid binding'],"['Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain', 'Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain']"
carboxylate reductase activity,1,['YMR110C'],,,,,,,,,,
carboxylic acid transmembrane transporter activity,2,"['YGR260W', 'YKL217W']",,,,['carboxylic acid transport'],,,,,,
carboxylic ester hydrolase activity,15,"['YBR177C', 'YDR125C', 'YGR015C', 'YGR110W', 'YHR049W', 'YHR075C', 'YJL068C', 'YJR019C', 'YLR099C', 'YLR118C', 'YMR210W', 'YMR222C', 'YNR064C', 'YOR280C', 'YPL095C']",,,,"['cardiolipin acyl-chain remodeling', 'cellular lipid metabolic process', 'lipid homeostasis', 'medium-chain fatty acid biosynthetic process', 'medium-chain fatty acid catabolic process', 'phosphatidic acid biosynthetic process']",,,,,"['acetylesterase activity', 'acylglycerol lipase activity', 'alcohol O-acetyltransferase activity', 'hydrolase activity', 'lysophosphatidic acid acyltransferase activity', 'phospholipase A2 activity', 'short-chain carboxylesterase activity', 'transferase activity, transferring acyl groups']","['alpha/beta hydrolase fold', 'Serine hydrolase (FSH1)']"
carboxymethylenebutenolidase activity,1,['YDL086W'],,,,,,,,,,
carboxypeptidase activity,8,"['YBR139W', 'YGL203C', 'YHR132C', 'YJL172W', 'YJR126C', 'YMR297W', 'YOR256C', 'YPL176C']",,,"['fungal-type vacuole', 'fungal-type vacuole lumen']","['phytochelatin biosynthetic process', 'proteolysis', 'zymogen activation']",,,,,"['hydrolase activity', 'metallocarboxypeptidase activity', 'metalloexopeptidase activity', 'metallopeptidase activity', 'peptidase activity', 'serine-type carboxypeptidase activity']","['Serine carboxypeptidase', 'Transferrin receptor-like dimerisation domain']"
cardiolipin binding,2,"['YJR048W', 'YOR211C']",,,,,,,,,,
cardiolipin synthase activity,1,['YDL142C'],,,,,,,,,,
cargo adaptor activity,7,"['YBL007C', 'YBL037W', 'YER157W', 'YHR012W', 'YJL154C', 'YOR069W', 'YPR029C']",,['ERD1'],"['endosome', 'retromer complex', 'retromer, cargo-selective complex']","['intracellular protein transport', 'protein transport', 'retrograde transport, endosome to Golgi']",,['vacuolar transport: abnormal'],"['VPS29', 'PEP8', 'VPS35', 'VPS5', 'VPS17']",,,
cargo receptor activity,2,"['YDL248W', 'YGL054C']",,,,,,,,,,
cargo receptor ligand activity,1,['YPL149W'],,,,,,,,,,
carnitine O-acetyltransferase activity,3,"['YAR035W', 'YER024W', 'YML042W']",,['CIT2'],,"['carnitine metabolic process', 'fatty acid metabolic process']",['carnitine shuttle'],,,,"['transferase activity, transferring acyl groups']",['Choline/Carnitine o-acyltransferase']
carnitine O-palmitoyltransferase activity,1,['YAR035W'],,,,,,,,,,
carnitine:acyl carnitine antiporter activity,1,['YOR100C'],,,,,,,,,,
carnosine N-methyltransferase activity,1,['YNL092W'],,,,,,,,,,
catalase activity,2,"['YDR256C', 'YGR088W']",,,,"['cellular oxidant detoxification', 'hydrogen peroxide catabolic process', 'response to hydrogen peroxide', 'response to oxidative stress', 'response to reactive oxygen species']",['removal of superoxide radicals'],['entry into G0 (stationary phase): increased'],,,['peroxidase activity'],"['Catalase', 'Catalase-related immune-responsive']"
